State,Happy ,Sad
Bihar,1491,464
Goa,2955,1017
Punjab,4825,1680
Uttar Pradesh,2344,607
Chandigarh,8826,3439
Dadra and Nagar Haveli,598,170
Daman and Diu,1002,297
Delhi,58617,22053
Rajasthan,1150,459
Tamil Nadu,4826,2084
West Bengal,2621,931
Maharshtra,2206,882
Telangana,4673,1663
Pondicherry,1024,421
Andhra Pradesh,124,27
Chattisgarh,450,142
Gujarat,318,99
Karnataka,100,21
Manipur,110,23
Haryana,2056,642
Jharkhand,439,114
Andaman and Nicobar Islands,151,53
Tripura,409,129
Orissa,7,4
Meghaylaya,86,47
Sikkim,9,5
Arunachal Pradesh,12,8
Himachal Pradesh,11,0
Nagaland,67,20
Madhya Pradesh,1,0
Mizoram,0,0
Kerala,462,199
Assam,208,49
